id,name,created_at,updated_at,availability,category_id,ancestry
7,oignon,2017-12-13 17:06:23.452741,2019-01-29 10:37:13.37345,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,
4,semoule,2017-12-13 17:04:26.719795,2019-01-29 10:37:13.530398,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,
42,mâche,2017-12-14 14:59:35.055577,2019-01-29 10:37:13.63185,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,86
14,roquette,2017-12-13 17:16:44.709343,2019-01-29 10:37:13.724114,"05, 06, 07, 08, 09, 10, 11",14,86
54,crème liquide,2017-12-14 15:43:30.359671,2019-01-29 10:37:13.873262,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",32,
5,tomate,2017-12-13 17:05:08.270022,2019-01-29 10:37:14.081636,"05, 06, 07, 08, 09",14,
147,mozzarella di Bufala,2017-12-14 18:08:25.001707,2019-04-16 09:58:29.667218,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,43
64,farine de blé,2017-12-14 16:06:58.112874,2019-01-29 10:37:14.377833,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,237
31,avocat,2017-12-13 17:35:10.493732,2019-01-29 10:37:14.932003,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",15,
65,huile de friture,2017-12-14 16:08:06.957313,2019-01-29 10:37:04.865126,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",36,
283,fines herbes,2017-12-18 17:13:03.008391,2019-01-29 10:37:05.267355,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
21,riz,2017-12-13 17:24:56.856523,2019-01-29 10:37:05.344815,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",20,
41,sauce soja,2017-12-13 17:42:48.203394,2019-01-29 10:37:05.480749,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
71,gruyère,2017-12-14 16:13:50.687115,2019-01-29 10:37:05.607013,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
69,jus de citron,2017-12-14 16:12:40.757003,2019-01-29 10:37:05.734231,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",41,
67,menthe,2017-12-14 16:11:40.572035,2019-01-29 10:37:05.889916,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
30,oeuf,2017-12-13 17:33:52.371253,2019-01-29 10:37:06.103351,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",24,
63,paprika,2017-12-14 16:06:28.987868,2019-01-29 10:37:06.594793,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
24,pâte brisée,2017-12-13 17:28:10.737556,2019-01-29 10:37:06.732737,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
61,mascarpone,2017-12-14 15:49:28.802582,2019-01-29 10:37:06.899446,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
60,basilic,2017-12-14 15:48:43.675613,2019-01-29 10:37:07.145634,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
29,fromage râpé,2017-12-13 17:33:01.239436,2019-01-29 10:37:07.376959,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
52,parmesan,2017-12-14 15:42:02.880777,2019-01-29 10:37:07.505442,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
16,fromage frais aux herbes,2017-12-13 17:20:07.640253,2019-01-29 10:37:07.624402,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
51,pesto,2017-12-14 15:41:48.700431,2019-01-29 10:37:07.735739,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
47,vinaigrette,2017-12-14 15:31:30.305126,2019-01-29 10:37:07.888571,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
10,poivre,2017-12-13 17:08:30.609849,2019-01-29 10:37:08.029259,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
20,vin blanc,2017-12-13 17:24:39.547842,2019-01-29 10:37:08.234498,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",45,
34,saumon fumé,2017-12-13 17:38:05.443542,2019-01-29 10:37:08.444133,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",25,
57,filet de saumon,2017-12-14 15:47:57.437036,2019-01-29 10:37:08.59748,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",25,
27,boite de thon,2017-12-13 17:32:25.64453,2019-01-29 10:37:08.744225,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",25,
11,sel,2017-12-13 17:08:35.974525,2019-01-29 10:37:08.914942,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",42,
17,beurre,2017-12-13 17:23:03.155588,2019-01-29 10:37:09.055813,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",34,
1,huile d'olive,2017-12-13 16:22:19.995531,2019-01-29 10:37:09.208085,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",36,
46,croutons,2017-12-14 15:01:57.843795,2019-01-29 10:37:09.389184,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
43,mozzarella,2017-12-14 15:00:33.371778,2019-01-29 10:37:09.621466,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
40,wasabi,2017-12-13 17:42:21.356994,2019-01-29 10:37:09.893601,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
39,vinaigre de riz,2017-12-13 17:41:37.447498,2019-01-29 10:37:10.093765,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
36,sésame,2017-12-13 17:40:18.799153,2019-01-29 10:37:10.324556,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",15,
35,nori,2017-12-13 17:39:21.942247,2019-01-29 10:37:10.489835,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",46,
33,surimi,2017-12-13 17:37:20.376238,2019-01-29 10:37:10.627212,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",26,
32,boite de crabe,2017-12-13 17:35:56.085148,2019-01-29 10:37:10.864961,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",26,
23,curry,2017-12-13 17:26:08.762302,2019-01-29 10:37:11.078531,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
22,ananas,2017-12-13 17:25:14.698276,2019-01-29 10:37:11.182533,"01, 02, 03, 04, 10, 11, 12",11,
19,poisson blanc,2017-12-13 17:24:03.526682,2019-01-29 10:37:11.315827,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",26,
18,crevette,2017-12-13 17:23:34.325818,2019-01-29 10:37:11.482445,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",26,
9,citron,2017-12-13 17:08:05.39187,2019-01-29 10:37:11.60693,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",11,
8,persil,2017-12-13 17:07:48.830435,2019-01-29 10:37:11.726798,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
37,riz rond,2017-12-13 17:40:38.001671,2019-01-29 10:37:11.822624,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,21
15,tomate cerise,2017-12-13 17:18:25.479549,2019-01-29 10:37:11.901735,"05, 06, 07, 08, 09",14,5
50,tomate confite,2017-12-14 15:41:25.953879,2019-01-29 10:37:12.028125,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,5
13,carpaccio de boeuf,2017-12-13 17:16:09.523893,2019-01-29 10:37:12.133915,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,509
55,faux-filet,2017-12-14 15:44:42.112538,2019-01-29 10:37:12.250681,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,509
2,steak haché,2017-12-13 16:26:41.302203,2019-01-29 10:37:12.345542,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,509
72,roti de dinde,2017-12-14 16:14:24.422431,2019-01-29 10:37:12.44175,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",28,511
70,pain de mie complet,2017-12-14 16:13:33.713976,2019-01-29 10:37:12.564737,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",16,84
28,herbes de provence,2017-12-13 17:32:40.746177,2019-01-29 10:37:12.662438,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
66,quinoa,2017-12-14 16:10:48.449886,2019-04-25 16:41:47.049781,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",20,
145,vinaigre balsamique,2017-12-14 18:07:27.020932,2019-01-29 10:37:12.947765,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
239,raviole,2017-12-15 14:45:47.02917,2019-01-29 10:37:13.08389,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,3
68,échalote,2017-12-14 16:12:13.39211,2019-01-29 10:37:13.269954,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,
59,courgette,2017-12-14 15:48:26.394094,2019-01-29 10:37:13.974954,"05, 06, 07, 08, 09",14,
73,laitue,2017-12-14 16:15:34.292517,2019-01-29 10:37:14.475532,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,86
25,crème épaisse,2017-12-13 17:28:49.274899,2019-01-29 10:37:15.168287,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",32,
53,pomme de terre,2017-12-14 15:43:02.675158,2019-01-30 09:44:43.914079,"",14,
86,salade,2017-12-14 16:30:52.392348,2019-01-29 10:37:23.767664,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,
97,épinard,2017-12-14 16:42:31.858237,2019-01-29 10:37:23.855034,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,
83,poireau,2017-12-14 16:29:19.72591,2019-01-29 10:37:23.928135,"01, 02, 03, 04, 05, 06, 07, 11, 12",14,
118,carotte,2017-12-14 17:12:50.866776,2019-01-29 10:37:24.058252,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,
115,patate douce,2017-12-14 17:05:40.829752,2019-01-29 10:37:24.181147,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,
117,oignon blanc,2017-12-14 17:12:36.304692,2019-01-29 10:37:24.310737,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,7
122,farine,2017-12-14 17:13:57.660272,2019-01-29 10:37:24.432882,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,237
58,oignon jaune,2017-12-14 15:48:13.124466,2019-01-29 10:37:25.512069,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,7
92,jambon cuit,2017-12-14 16:38:34.301539,2019-04-16 09:50:36.938416,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",23,96
127,huile piquante,2017-12-14 17:18:10.065002,2019-01-29 10:37:15.373254,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
79,comté,2017-12-14 16:21:08.039507,2019-01-29 10:37:15.504425,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
106,huile de sésame,2017-12-14 16:55:34.379776,2019-01-29 10:37:15.711707,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",36,
141,fougasse,2017-12-14 18:02:35.570802,2019-01-29 10:37:15.853867,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
75,ketchup,2017-12-14 16:16:04.461951,2019-01-29 10:37:16.093812,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
76,mayonnaise,2017-12-14 16:16:13.745683,2019-01-29 10:37:16.341298,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
80,moutarde,2017-12-14 16:21:15.998302,2019-01-29 10:37:16.467772,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
140,vinaigre de Xérès,2017-12-14 17:58:17.882875,2019-01-29 10:37:16.587403,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
138,levure chimique,2017-12-14 17:44:42.778571,2019-01-29 10:37:16.706766,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",18,
98,riz blanc,2017-12-14 16:43:15.500116,2019-01-29 10:37:16.812489,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,21
78,tomate ronde,2017-12-14 16:20:55.220584,2019-01-29 10:37:16.938865,"05, 06, 07, 08, 09",14,5
205,crème de soja,2017-12-15 13:25:41.144565,2019-01-29 10:37:17.14798,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
95,champignon de Paris,2017-12-14 16:40:55.785395,2019-01-29 10:37:17.293498,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,308
108,poivron rouge,2017-12-14 16:56:12.272179,2019-01-29 10:37:17.409861,"06, 07, 08, 09, 10",14,269
137,lait,2017-12-14 17:44:23.695257,2019-01-29 10:37:17.613397,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",31,
107,poivron vert,2017-12-14 16:56:01.606847,2019-01-29 10:37:17.759454,"06, 07, 08, 09, 10",14,269
126,coulis de tomates,2017-12-14 17:17:25.083632,2019-01-29 10:37:17.913467,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,5
111,sauce tomate,2017-12-14 16:58:35.528844,2019-01-29 10:37:18.069612,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,5
134,boeuf haché,2017-12-14 17:40:55.823014,2019-01-29 10:37:18.179504,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,509
130,bouillon de légumes,2017-12-14 17:34:53.865081,2019-01-29 10:37:18.329225,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
116,paleron de boeuf,2017-12-14 17:12:01.801104,2019-01-29 10:37:18.437326,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,509
144,filet de dinde,2017-12-14 18:06:43.684825,2019-01-29 10:37:18.537541,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",28,511
85,blanc de poulet,2017-12-14 16:30:40.556775,2019-01-29 10:37:18.675613,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",28,327
143,macaroni,2017-12-14 18:03:29.973892,2019-01-29 10:37:18.842248,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,3
133,spaghetti,2017-12-14 17:40:35.793002,2019-01-29 10:37:19.102656,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,3
123,feuille de laurier,2017-12-14 17:14:49.080817,2019-01-29 10:37:19.643613,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
121,vin rouge,2017-12-14 17:13:47.368455,2019-01-29 10:37:19.829739,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",45,
119,bouquet garni,2017-12-14 17:13:14.27021,2019-01-29 10:37:20.001499,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
114,muscade,2017-12-14 17:03:17.931383,2019-01-29 10:37:20.152539,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
87,saumon,2017-12-14 16:32:12.777921,2019-01-29 10:37:20.341924,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",25,
103,pavé de saumon,2017-12-14 16:51:09.887893,2019-01-29 10:37:20.532757,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",25,
120,bouillon de boeuf,2017-12-14 17:13:31.915273,2019-01-29 10:37:20.745362,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
90,eau,2017-12-14 16:36:08.861103,2019-01-29 10:37:20.9354,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",39,
109,ananas au sirop,2017-12-14 16:57:55.319961,2019-01-29 10:37:21.048049,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",13,
84,pain de mie,2017-12-14 16:29:51.838499,2019-01-29 10:37:21.193544,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
82,huile de tournesol,2017-12-14 16:27:54.639741,2019-01-29 10:37:21.438281,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",36,
91,bouillon de volaille,2017-12-14 16:37:10.721187,2019-01-29 10:37:21.640515,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
125,pâte à pizza,2017-12-14 17:16:38.897937,2019-01-29 10:37:21.79705,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
77,pâte feuilletée,2017-12-14 16:20:22.074219,2019-01-29 10:37:22.029294,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
81,olive noire,2017-12-14 16:21:55.100828,2019-01-29 10:37:22.193001,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",15,
113,emmental râpé,2017-12-14 17:02:17.670769,2019-01-29 10:37:22.423406,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
110,vinaigre de vin blanc,2017-12-14 16:58:11.313076,2019-01-29 10:37:22.581872,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
104,baies roses,2017-12-14 16:51:35.291737,2019-01-29 10:37:22.757414,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
102,thym,2017-12-14 16:49:36.469714,2019-01-29 10:37:22.917758,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
101,chapelure,2017-12-14 16:49:15.440586,2019-01-29 10:37:23.014491,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",17,
100,origan,2017-12-14 16:48:43.089684,2019-01-29 10:37:23.129463,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",44,
94,edam,2017-12-14 16:39:37.356134,2019-01-29 10:37:23.238985,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",30,
175,petits pois carotte,2017-12-14 18:51:00.305311,2019-01-29 10:37:23.319684,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",47,174
180,purée de pommes de terre,2017-12-15 10:50:38.53168,2019-01-29 10:37:23.413467,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",47,53
167,huile de pépin de raisin,2017-12-14 18:41:18.98205,2019-01-29 10:37:23.583283,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",35,
156,chou-fleur,2017-12-14 18:20:33.459051,2019-01-29 10:37:23.687988,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",14,508
124,sucre roux,2017-12-14 17:15:18.620785,2019-01-29 10:37:25.001734,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",38,516
38,sucre en poudre,2017-12-13 17:40:52.842385,2019-01-29 10:37:25.27328,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",38,516
89,haricots verts,2017-12-14 16:35:06.814447,2019-01-29 10:37:25.421474,"04, 05, 06, 07, 08, 09, 10",14,
142,prosciutto,2017-12-14 18:02:59.860716,2019-04-16 09:50:36.946787,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",23,96
152,maïs,2017-12-14 18:17:09.729742,2019-01-29 10:37:35.15075,"07, 08, 09, 10",14,
217,nouilles de riz,2017-12-15 13:36:50.56917,2019-01-29 10:37:35.301552,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",21,21
160,bifteck,2017-12-14 18:32:44.177398,2019-01-29 10:37:25.784793,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,509
159,steak de soja,2017-12-14 18:31:40.221955,2019-01-29 10:37:25.905389,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",22,262
263,tabasco,2017-12-18 16:33:26.804123,2019-01-29 10:37:26.174362,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
219,sauce nuoc nam,2017-12-15 13:37:37.227685,2019-01-29 10:37:26.29026,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
178,escalope de porc,2017-12-15 10:42:36.514016,2019-01-29 10:37:26.453273,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",27,510
218,piment rouge,2017-12-15 13:37:12.096356,2019-01-29 10:37:26.630258,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",37,
